doppelvorkommen,wo,NR,in feature
ungleichmäßig,woxikon,5,"['Unregelmäßig ', 'Drüsenwand ist ungleichmäßig dick', 'Asymmetrisch ', 'lumen unregelmäßig ', 'unregelmäßiger Ring um das Innere']"
abweichend,woxikon,6,"['Drüsen entartet', 'Unregelmäßig ', 'Drüsenwand ist ungleichmäßig dick', 'Asymmetrisch ', 'lumen unregelmäßig ', 'unregelmäßiger Ring um das Innere']"
korpulent,woxikon,2,"['mehr oval als rund Druesengrenze', 'Lumen nicht rund ']"
zirka,woxikon,3,"['mehr oval als rund Druesengrenze', 'unregelmäßiger Ring um das Innere', 'Lumen nicht rund ']"
dicklich,woxikon,3,"['mehr oval als rund Druesengrenze', 'Lumen nicht rund ', 'Drüsenwand ist ungleichmäßig dick']"
dick,woxikon,6,"['unförmig', 'heller, unförmiger Kern', 'Drüsenwand ist ungleichmäßig dick', 'Lumen nicht rund ', 'mehr oval als rund Druesengrenze']"
ausgedehnt,woxikon,4,"['mehr oval als rund Druesengrenze', 'Lumen nicht rund ', 'Lumen groß', 'Drüsenwand ist ungleichmäßig dick']"
kräftig,woxikon,6,"['Drüsenwand ist ungleichmäßig dick', 'drüse scharf abgegrenzt von stroma', 'Lumen nicht rund ', 'mehr oval als rund Druesengrenze', 'Dunkel']"
beleibt,woxikon,4,"['mehr oval als rund Druesengrenze', 'Lumen nicht rund ', 'heller, unförmiger Kern', 'unförmig']"
Ort,woxikon,6,"['dunkles Bereich ausserhalb von Lumen', 'schwarze Punkte', 'Punkte', 'klare Abgrenzung von Umgebung möglich', 'Lumen als Insel']"
Thema,woxikon,3,"['dunkles Bereich ausserhalb von Lumen', 'schwarze Punkte', 'Punkte']"
statt,woxikon,2,"['mehr oval als rund Druesengrenze', 'Lumen als Insel']"
unterdessen,woxikon,4,"['mehr oval als rund Druesengrenze', 'Lumen als Insel', 'Struktur innerhalb des Lumens sichtbar', 'Ausbuchtungen innerhalb der Drüsenwand']"
Abteilung,woxikon,2,"['dunkles Bereich ausserhalb von Lumen', 'Avocadoförmige Abtrennung']"
Zusammenhang,woxikon,5,"['Reihe von Punkten entlang  Außenkante', 'marmorartige Strukturen in Lumen', 'dunkles Bereich ausserhalb von Lumen', 'klare Abgrenzung von Umgebung möglich', 'Struktur innerhalb des Lumens sichtbar']"
Mitte,woxikon,6,"['schwarze Punkte', 'Punkte', 'wenige runde Kerne', 'heller, unförmiger Kern', 'viel Stroma mit verschiedenen Kernen', 'kerne basal im Drüsengewebe']"
Mittelpunkt,woxikon,5,"['schwarze Punkte', 'wenige runde Kerne', 'heller, unförmiger Kern', 'unregelmäßiger Ring um das Innere', 'kerne basal im Drüsengewebe']"
Einfassung,woxikon,2,"['dunkler, fleckiger Rand', 'dunkles Bereich ausserhalb von Lumen']"
Aufwertung,woxikon,2,"['vergrößert', 'Drüse hebt sich vom umliegenden Gewebe']"
höher,woxikon,2,"['vergrößert', 'mehr oval als rund Druesengrenze']"
wahnschaffen,woxikon,2,"['heller, unförmiger Kern', 'unförmig']"
üppig,woxikon,3,"['heller, unförmiger Kern', 'unförmig', 'viel Stroma mit verschiedenen Kernen']"
unförmig,woxikon,3,"['heller, unförmiger Kern', 'unförmig', 'Drüsenwand ist ungleichmäßig dick']"
gut,woxikon,3,"['Struktur innerhalb des Lumens sichtbar', 'heller, unförmiger Kern', 'unförmig']"
düster,woxikon,2,"['Drüse schwarz umrandet', 'Dunkel']"
Treffer,woxikon,2,"['schwarze Punkte', 'Punkte']"
ungeschehen,woxikon,4,"['Reihe von Punkten entlang  Außenkante', 'schwarze Punkte', 'Punkte', 'Marmorierung mit Punkten außen']"
löchrig,woxikon,2,"['Lumen löchrig', 'Löchrig']"
fashionable,woxikon,2,"['marmorartige Strukturen in Lumen', 'Klecks in Hülle']"
inmitten,woxikon,4,"['Struktur innerhalb des Lumens sichtbar', 'marmorartige Strukturen in Lumen', 'Ausbuchtungen innerhalb der Drüsenwand', 'Klecks in Hülle']"
Schein,woxikon,2,"['Dunkel', 'Klecks in Hülle']"
bisweilen,woxikon,3,"['unregelmäßiger Ring um das Innere', 'Unregelmäßig ', 'lumen unregelmäßig ']"
unregelmäßig,woxikon,4,"['unregelmäßiger Ring um das Innere', 'Unregelmäßig ', 'lumen unregelmäßig ', 'Drüsenwand ist ungleichmäßig dick']"
Zone,woxikon,2,"['unregelmäßiger Ring um das Innere', 'dunkles Bereich ausserhalb von Lumen']"
Zentrum,woxikon,5,"['wenige runde Kerne', 'heller, unförmiger Kern', 'viel Stroma mit verschiedenen Kernen', 'unregelmäßiger Ring um das Innere', 'kerne basal im Drüsengewebe']"
Innerste,woxikon,4,"['unregelmäßiger Ring um das Innere', 'wenige runde Kerne', 'heller, unförmiger Kern', 'kerne basal im Drüsengewebe']"
Gruppe,woxikon,4,"['Reihe von Punkten entlang  Außenkante', 'unregelmäßiger Ring um das Innere', 'wenige runde Kerne', 'klare Abgrenzung von Umgebung möglich']"
verursacht,woxikon,5,"['Reihe von Punkten entlang  Außenkante', 'dunkles Bereich ausserhalb von Lumen', 'klare Abgrenzung von Umgebung möglich', 'drüse scharf abgegrenzt von stroma', 'Abgrenzung zu Gewebe durch Zellkernreihe']"
zusammengesetzt,woxikon,4,"['dunkles Bereich ausserhalb von Lumen', 'Reihe von Punkten entlang  Außenkante', 'drüse scharf abgegrenzt von stroma', 'klare Abgrenzung von Umgebung möglich']"
bitte,woxikon,2,"['Lumen nicht rund ', 'Drüse ist nicht symmetrisch']"
Ordnung,woxikon,2,"['Struktur innerhalb des Lumens sichtbar', 'marmorartige Strukturen in Lumen']"
leicht,woxikon,2,"['Struktur innerhalb des Lumens sichtbar', 'Lumen luftig']"
deutlich,woxikon,3,"['Struktur innerhalb des Lumens sichtbar', 'drüse scharf abgegrenzt von stroma']"
Abgrenzung,woxikon,3,"['Abgrenzung zu Gewebe durch Zellkernreihe', 'dunkler, fleckiger Rand', 'klare Abgrenzung von Umgebung möglich']"
Abtrennung,woxikon,3,"['Abgrenzung zu Gewebe durch Zellkernreihe', 'Avocadoförmige Abtrennung', 'klare Abgrenzung von Umgebung möglich']"
Gesichtskreis,woxikon,2,"['dunkles Bereich ausserhalb von Lumen', 'klare Abgrenzung von Umgebung möglich']"
Kante,woxikon,2,"['dunkler, fleckiger Rand', 'klare Abgrenzung von Umgebung möglich']"
mitten,woxikon,2,"['Struktur innerhalb des Lumens sichtbar', 'Ausbuchtungen innerhalb der Drüsenwand']"
auftreten,woxikon,2,"['Drüse ist nicht symmetrisch', 'Drüsenwand ist ungleichmäßig dick']"
unbeholfen,woxikon,2,"['Drüse kantig', 'Drüsenwand ist ungleichmäßig dick']"
undurchsichtig,woxikon,2,"['Dunkel', 'Drüsenwand ist ungleichmäßig dick']"
Beschränkung,woxikon,2,"['Abgrenzung zu Gewebe durch Zellkernreihe', 'klare Abgrenzung von Umgebung möglich']"
Nähwirktechnik,woxikon,2,"['Abgrenzung zu Gewebe durch Zellkernreihe', 'Drüse hebt sich vom umliegenden Gewebe']"
vermittels,woxikon,3,"['Abgrenzung zu Gewebe durch Zellkernreihe', 'viel Stroma mit verschiedenen Kernen', 'Marmorierung mit Punkten außen']"
aufgrund,woxikon,2,"['Abgrenzung zu Gewebe durch Zellkernreihe', 'unregelmäßiger Ring um das Innere']"
umfangreich,woxikon,3,"['Lumen groß', 'viel Stroma mit verschiedenen Kernen', 'Drüsenwand ist ungleichmäßig dick']"
mächtig,woxikon,2,"['Lumen groß', 'Drüsenwand ist ungleichmäßig dick']"
abzählbar,woxikon,3,"['wenige kleine Sekretblasen', 'wenige runde Kerne', 'wenige Epithelzellen']"
Menge,woxikon,2,"['Reihe von Punkten entlang  Außenkante', 'wenige runde Kerne']"
Ergebnis,woxikon,4,"['wenige runde Kerne', 'heller, unförmiger Kern', 'viel Stroma mit verschiedenen Kernen', 'kerne basal im Drüsengewebe']"
Nabel,woxikon,3,"['wenige runde Kerne', 'heller, unförmiger Kern', 'kerne basal im Drüsengewebe']"
grundlegend,woxikon,2,"['kerne basal im Drüsengewebe', 'sehr weisses Lumen']"
junge,woxikon,2,"['wenige kleine Sekretblasen', 'kleine Zellen']"
enorm,woxikon,2,"['Lumen groß', 'viel Stroma mit verschiedenen Kernen']"
einbegriffen,woxikon,2,"['viel Stroma mit verschiedenen Kernen', 'Marmorierung mit Punkten außen']"
stark,woxikon,2,"['drüse scharf abgegrenzt von stroma', 'Drüsenwand ist ungleichmäßig dick']"
erkennbar,woxikon,2,"['drüse scharf abgegrenzt von stroma', 'Struktur innerhalb des Lumens sichtbar']"
Welt,theseus,2,"['dunkles Bereich ausserhalb von Lumen', 'Zellkerne auserhalb']"
informeller,theseus,2,"['Inhomogenes weis im Inneren', 'kerne basal im Drüsengewebe']"
Käse,theseus,2,"['Lumen löchrig', 'Löchrig']"
Mal,theseus,4,"['lumen unregelmäßig ', 'Unregelmäßig ']"
mal,theseus,11,"['Unregelmäßig ', 'Lumen nicht rund ', 'lumen unregelmäßig ', 'keine Außenlumenzellen', 'mehr oval als rund Druesengrenze', 'unregelmäßiger Ring um das Innere']"
rum,theseus,3,"['mehr oval als rund Druesengrenze', 'unregelmäßiger Ring um das Innere', 'Lumen nicht rund ']"
Zahl,theseus,12,"['viel Stroma mit verschiedenen Kernen', 'Lumen nicht rund ', 'keine Außenlumenzellen', 'mehr oval als rund Druesengrenze', 'unregelmäßiger Ring um das Innere']"
Lumen,theseus,13,"['marmorartige Strukturen in Lumen', 'dunkles Bereich ausserhalb von Lumen', 'vergrößertes Lumen', 'sehr weisses Lumen', 'Lumen als Insel', 'Lumen nicht rund ', 'Lumen groß', 'lumen unregelmäßig ', 'Lumen luftig', 'Lumen löchrig', 'großes Lumen', 'Lumen oval', 'lumen krampfplasmolysenartig']"
paar,theseus,6,"['wenige kleine Sekretblasen', 'wenige Epithelzellen', 'wenige runde Kerne']"
ganz,theseus,7,"['wenige runde Kerne', 'Lumen nicht rund ', 'wenige Epithelzellen', 'wenige kleine Sekretblasen', 'Drüse ist nicht symmetrisch']"
Neffen,theseus,2,"['Lumen nicht rund ', 'Drüse ist nicht symmetrisch']"
Drüse,theseus,7,"['Drüse eiförmig', 'langezogene Drüse', 'drüse scharf abgegrenzt von stroma', 'Drüse hebt sich vom umliegenden Gewebe', 'Drüse schwarz umrandet', 'Drüse ist nicht symmetrisch', 'Drüse kantig']"
umgekehrt,theseus,2,['Drüse hebt sich vom umliegenden Gewebe']
massiv,theseus,2,"['unförmig', 'sehr weisses Lumen']"
monströs,theseus,2,['unförmig']
ausgeschlossen,theseus,3,"['Lumen nicht rund ', 'Drüse ist nicht symmetrisch', 'evtl infiltration ']"
Fälle,theseus,2,['evtl infiltration ']
schwarz,theseus,2,"['Drüse schwarz umrandet', 'Dunkel']"
kaukasisch,theseus,2,"['Weiß', 'Inhomogenes weis im Inneren']"
Zentrum,theseus,2,"['Spinnenfäden mittig', 'heller, unförmiger Kern']"
un,theseus,2,"['marmorartige Strukturen in Lumen', 'Klecks in Hülle']"
ernten,theseus,2,"['Reihe von Punkten entlang  Außenkante', 'Marmorierung mit Punkten außen']"
vonseiten,theseus,4,"['dunkles Bereich ausserhalb von Lumen', 'Reihe von Punkten entlang  Außenkante', 'drüse scharf abgegrenzt von stroma', 'klare Abgrenzung von Umgebung möglich']"
macht,theseus,2,"['Drüse ist nicht symmetrisch', 'Drüsenwand ist ungleichmäßig dick']"
Bereich,theseus,3,"['Struktur innerhalb des Lumens sichtbar', 'dunkles Bereich ausserhalb von Lumen', 'Ausbuchtungen innerhalb der Drüsenwand']"
inwendig,theseus,3,"['Struktur innerhalb des Lumens sichtbar', 'unregelmäßiger Ring um das Innere', 'Ausbuchtungen innerhalb der Drüsenwand']"
Abgrenzung,theseus,3,"['Abgrenzung zu Gewebe durch Zellkernreihe', 'dunkler, fleckiger Rand', 'klare Abgrenzung von Umgebung möglich']"
inmitten,theseus,2,"['Struktur innerhalb des Lumens sichtbar', 'Ausbuchtungen innerhalb der Drüsenwand']"
ungleichmäßig,theseus,2,"['Asymmetrisch ', 'Drüsenwand ist ungleichmäßig dick']"
unregelmäßig,theseus,3,"['Unregelmäßig ', 'lumen unregelmäßig ', 'Drüsenwand ist ungleichmäßig dick']"
geraten,theseus,2,"['unförmig', 'Drüsenwand ist ungleichmäßig dick']"
stark,theseus,2,"['Drüsenwand ist ungleichmäßig dick', 'sehr weisses Lumen']"
fett,theseus,2,['Drüsenwand ist ungleichmäßig dick']
denkbar,theseus,2,"['klare Abgrenzung von Umgebung möglich', 'keine Außenlumenzellen']"
knapp,theseus,3,['keine Außenlumenzellen']
Distinktion,theseus,2,"['Abgrenzung zu Gewebe durch Zellkernreihe', 'klare Abgrenzung von Umgebung möglich']"
Tuch,theseus,2,"['Abgrenzung zu Gewebe durch Zellkernreihe', 'Drüse hebt sich vom umliegenden Gewebe']"
via,theseus,3,"['Abgrenzung zu Gewebe durch Zellkernreihe', 'viel Stroma mit verschiedenen Kernen', 'Marmorierung mit Punkten außen']"
Sache,theseus,2,['Zellschicht ohne Zellkerne']
wesentlich,theseus,2,"['Lumen groß', 'kerne basal im Drüsengewebe']"
Gewicht,theseus,3,['Lumen groß']
großer,theseus,3,"['Lumen groß', 'viel Stroma mit verschiedenen Kernen']"
zentral,theseus,2,"['Spinnenfäden mittig', 'Lumen groß']"
Nestküken,theseus,2,"['wenige kleine Sekretblasen', 'kleine Zellen']"
drei,theseus,3,"['wenige kleine Sekretblasen', 'wenige runde Kerne', 'wenige Epithelzellen']"
massig,theseus,2,"['viel Stroma mit verschiedenen Kernen', 'Drüsenwand ist ungleichmäßig dick']"
Hülle,theseus,2,"['viel Stroma mit verschiedenen Kernen', 'Klecks in Hülle']"
öfters,theseus,2,"['Unregelmäßig ', 'lumen unregelmäßig ']"
Stroma,theseus,2,"['drüse scharf abgegrenzt von stroma', 'viel Stroma mit verschiedenen Kernen']"
